City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Mindelo,CV,71.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
227,Banda Aceh,ID,83.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
237,Gizo,SB,84.54,light rain,-8.103,156.8419,Imagination Island
240,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
244,Poso,ID,85.8,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
251,Brus Laguna,HN,70.21,broken clouds,15.75,-84.4833,
263,Huarmey,PE,70.3,few clouds,-10.0681,-78.1522,Hotel Miramar
264,Phan Thiet,VN,84.06,scattered clouds,10.9333,108.1,Hotel Saigon-PT
265,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
266,Bambanglipuro,ID,85.19,scattered clouds,-7.95,110.2833,Puri Brata
267,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
274,Meulaboh,ID,79.61,overcast clouds,4.1363,96.1285,Kost Pria
275,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
276,Qui Nhon,VN,74.89,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
277,Miandrivazo,MG,76.68,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
280,Pedasi,PA,75.07,clear sky,7.5333,-80.0333,Selina Pedasi
281,Poum,NC,82.2,scattered clouds,-20.2333,164.0167,Gîte kajeon
285,Mananjary,MG,75.61,light rain,-21.2167,48.3333,Vahiny Lodge
288,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
291,Celestun,MX,76.41,overcast clouds,20.8667,-90.4,Posada Lilia
292,Aneho,TG,80.8,scattered clouds,6.2333,1.6,Hotel La Linette
293,Mamallapuram,IN,84.25,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
294,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
297,Puerto Escondido,MX,77.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
301,Saint-Philippe,RE,79.21,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
302,Liwale,TZ,70.47,overcast clouds,-9.7667,37.9333,Samoma lodge
303,Ugoofaaru,MV,81.14,clear sky,5.6667,73.0,Ungoofaaru Inn
305,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
307,Namatanai,PG,84.79,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
308,Champasak,LA,81.48,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
309,Katobu,ID,86.63,scattered clouds,-4.9408,122.5276,La Ode Husein
